,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,CT,43239,238286.0,,373.0,9669.0,,,,,7284.0,B,6/4/2020 16:00,2020-06-04T16:00:00Z,06/04 12:00,4007.0,9669.0,2020-06-04T16:00:00Z,9,148,4941,281525,281525,5089,281525,18,-4124,448fb5a3f413ed4128dd8aabd1272a8dd07c8f12,0,0,0,0,0,
1,20200603,CT,43091,233345.0,,406.0,13793.0,,,,,7511.0,B,6/2/2020 20:30,2020-06-02T20:30:00Z,06/02 16:30,3989.0,13793.0,2020-06-02T20:30:00Z,9,112,5714,276436,276436,5826,276436,17,0,67e8a3a722873d8420d745068bdc9dd5b6dbd6e8,0,0,0,0,0,
2,20200602,CT,42979,227631.0,,434.0,13793.0,,,,,7511.0,B,6/1/2020 20:30,2020-06-01T20:30:00Z,06/01 16:30,3972.0,13793.0,2020-06-01T20:30:00Z,9,239,8981,270610,270610,9220,270610,8,0,d21862626f593d49b27bfa13773b02a3eebcd900,0,0,0,0,0,
3,20200601,CT,42740,218650.0,,454.0,13793.0,,,,,7511.0,B,5/31/2020 20:30,2020-05-31T20:30:00Z,05/31 16:30,3964.0,13793.0,2020-05-31T20:30:00Z,9,539,10805,261390,261390,11344,261390,20,1255,f7df946b780c2b66e4236fc9a23454d9d3750b06,0,0,0,0,0,
4,20200531,CT,42201,207845.0,,481.0,12538.0,,,,,7127.0,B,5/30/2020 20:30,2020-05-30T20:30:00Z,05/30 16:30,3944.0,12538.0,2020-05-30T20:30:00Z,9,179,2932,250046,250046,3111,250046,32,0,ee4e897b2162d4cebf8e484d404b60ce9b2b48e1,0,0,0,0,0,
5,20200530,CT,42022,204913.0,,533.0,12538.0,,,,,7127.0,B,5/29/2020 20:30,2020-05-29T20:30:00Z,05/29 16:30,3912.0,12538.0,2020-05-29T20:30:00Z,9,260,5282,246935,246935,5542,246935,44,0,e6f527efaa1add173ef320512d8e7c24f8c51f6e,0,0,0,0,0,
6,20200529,CT,41762,199631.0,,577.0,12538.0,,,,,7127.0,B,5/28/2020 20:30,2020-05-28T20:30:00Z,05/28 16:30,3868.0,12538.0,2020-05-28T20:30:00Z,9,203,5665,241393,241393,5868,241393,42,0,a10bc3a83b3b88241fa0403d9ba7a208ae6963bb,0,0,0,0,0,
7,20200528,CT,41559,193966.0,,648.0,12538.0,,,,,7127.0,B,5/27/2020 20:30,2020-05-27T20:30:00Z,05/27 16:30,3826.0,12538.0,2020-05-27T20:30:00Z,9,256,9907,235525,235525,10163,235525,57,0,2f707b295091b8bf97cc4da808b45e9e029ec97e,0,0,0,0,0,
8,20200527,CT,41303,184059.0,,694.0,12538.0,,,,,7127.0,B,5/25/2020 20:30,2020-05-25T20:30:00Z,05/25 16:30,3769.0,12538.0,2020-05-25T20:30:00Z,9,0,0,225362,225362,0,225362,0,0,437a630b1cbb1bd67c45b263aa4d38ef04756fd2,0,0,0,0,0,
9,20200526,CT,41303,184059.0,,694.0,12538.0,,,,,7127.0,B,5/25/2020 20:30,2020-05-25T20:30:00Z,05/25 16:30,3769.0,12538.0,2020-05-25T20:30:00Z,9,430,3206,225362,225362,3636,225362,27,0,164064acbc6bb532d83b24b301f1eebc5084b3af,0,0,0,0,0,
10,20200525,CT,40873,180853.0,,706.0,12538.0,,,,,7127.0,B,5/24/2020 20:30,2020-05-24T20:30:00Z,05/24 16:30,3742.0,12538.0,2020-05-24T20:30:00Z,9,405,7185,221726,221726,7590,221726,49,0,e8bec29a55455c45dd7d641cd3bbbc663a9d2aac,0,0,0,0,0,
11,20200524,CT,40468,173668.0,,701.0,12538.0,,,,,7127.0,B,5/23/2020 20:30,2020-05-23T20:30:00Z,05/23 16:30,3693.0,12538.0,2020-05-23T20:30:00Z,9,446,5323,214136,214136,5769,214136,18,0,c741ec623b02d1637847086f78ef766739230e83,0,0,0,0,0,
12,20200523,CT,40022,168345.0,,724.0,12538.0,,,,,7127.0,B,5/22/2020 20:30,2020-05-22T20:30:00Z,05/22 16:30,3675.0,12538.0,2020-05-22T20:30:00Z,9,382,5657,208367,208367,6039,208367,38,0,43624bc99cbc7631866ace2c263d130381e30d02,0,0,0,0,0,
13,20200522,CT,39640,162688.0,,740.0,12538.0,,,,,7127.0,B,5/21/2020 20:30,2020-05-21T20:30:00Z,05/21 16:30,3637.0,12538.0,2020-05-21T20:30:00Z,9,432,5449,202328,202328,5881,202328,55,1592,e46928127582419be00dba05417961c958256483,0,0,0,0,0,
14,20200521,CT,39208,157239.0,,816.0,10946.0,,,,,6264.0,B,5/20/2020 08:30,2020-05-20T08:30:00Z,05/20 04:30,3582.0,10946.0,2020-05-20T08:30:00Z,9,191,5538,196447,196447,5729,196447,53,0,fadd43e1f9a9124b688d862ef6c21e817083b70e,0,0,0,0,0,
15,20200520,CT,39017,151701.0,,887.0,10946.0,,,,,6264.0,B,5/20/2020 16:00,2020-05-20T16:00:00Z,05/20 12:00,3529.0,10946.0,2020-05-20T16:00:00Z,9,587,4611,190718,190718,5198,190718,57,0,ba9f4e474886daffe1d34bed0afedd2231fdec75,0,0,0,0,0,
16,20200519,CT,38430,147090.0,,914.0,10946.0,,,,,6264.0,B,5/18/2020 19:00,2020-05-18T19:00:00Z,05/18 15:00,3472.0,10946.0,2020-05-18T19:00:00Z,9,314,7527,185520,185520,7841,185520,23,0,6d9e9593b3684fac8ece4183beda9ac5653ccc6c,0,0,0,0,0,
