,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,MA,102063,522872.0,,1637.0,10238.0,401.0,,249.0,,,A+,6/4/2020 10:00,2020-06-04T10:00:00Z,06/04 06:00,7201.0,10238.0,2020-06-04T10:00:00Z,25,471,6703,624935,624935,7174,624935,49,87,3a9cabc4a8195e574590d7982a0d9c3f29e5f7b1,0,0,0,0,0,
1,20200603,MA,101592,516169.0,,1684.0,10151.0,393.0,,263.0,,,A+,6/3/2020 10:00,2020-06-03T10:00:00Z,06/03 06:00,7152.0,10151.0,2020-06-03T10:00:00Z,25,429,7937,617761,617761,8366,617761,67,88,a60363edd64ec92c49eab15f366fa7062013df9d,0,0,0,0,0,
2,20200602,MA,101163,508232.0,,1657.0,10063.0,394.0,,269.0,,,A+,6/2/2020 10:00,2020-06-02T10:00:00Z,06/02 06:00,7085.0,10063.0,2020-06-02T10:00:00Z,25,4198,12344,609395,609395,16542,609395,239,240,ebe95fab896af21b6e31cba2aa0687ed469aa3ae,0,0,0,0,0,
3,20200601,MA,96965,495888.0,,1824.0,9823.0,436.0,,,,,A,5/31/2020 10:00,2020-05-31T10:00:00Z,05/31 06:00,6846.0,9823.0,2020-05-31T10:00:00Z,25,0,0,592853,592853,0,592853,0,0,50199450464df482baf3942c5f5bd91cff1e688b,0,0,0,0,0,
4,20200531,MA,96965,495888.0,,1824.0,9823.0,436.0,,,,,A,5/31/2020 10:00,2020-05-31T10:00:00Z,05/31 06:00,6846.0,9823.0,2020-05-31T10:00:00Z,25,664,9670,592853,592853,10334,592853,78,34,7d20c23df42e078d2bbae259f37c098753d485f8,0,0,0,0,0,
5,20200530,MA,96301,486218.0,,1904.0,9789.0,453.0,,,,,A,5/30/2020 10:00,2020-05-30T10:00:00Z,05/30 06:00,6768.0,9789.0,2020-05-30T10:00:00Z,25,789,9985,582519,582519,10774,582519,50,64,541df2d6418cfb83d078719e2e62829cd9ddb228,0,0,0,0,0,
6,20200529,MA,95512,476233.0,,1991.0,9725.0,485.0,,,,,A,5/29/2020 16:00,2020-05-29T16:00:00Z,05/29 12:00,6718.0,9725.0,2020-05-29T16:00:00Z,25,617,8805,571745,571745,9422,571745,78,107,538f76968bd3b773209eb425792c1d7dbb9c67e3,0,0,0,0,0,
7,20200528,MA,94895,467428.0,,2112.0,9618.0,529.0,,,,,A,5/28/2020 10:00,2020-05-28T10:00:00Z,05/28 06:00,6640.0,9618.0,2020-05-28T10:00:00Z,25,675,9504,562323,562323,10179,562323,93,126,f6e8da7e1a79dba9f98105967a4ff47822b97a52,0,0,0,0,0,
8,20200527,MA,94220,457924.0,,2106.0,9492.0,556.0,,,,,A,5/27/2020 10:00,2020-05-27T10:00:00Z,05/27 06:00,6547.0,9492.0,2020-05-27T10:00:00Z,25,527,6136,552144,552144,6663,552144,74,104,1691c3c2781d9e7f01625c5dd9295a29efbfc9ee,0,0,0,0,0,
9,20200526,MA,93693,451788.0,,2108.0,9388.0,560.0,,,,,A,5/26/2020 10:00,2020-05-26T10:00:00Z,05/26 06:00,6473.0,9388.0,2020-05-26T10:00:00Z,25,422,4498,545481,545481,4920,545481,57,49,6dbc73593cabbb2146fdbcfb846a292cd085c119,0,0,0,0,0,
10,20200525,MA,93271,447290.0,,2132.0,9339.0,576.0,,,,,A,5/25/2020 10:00,2020-05-25T10:00:00Z,05/25 06:00,6416.0,9339.0,2020-05-25T10:00:00Z,25,596,7592,540561,540561,8188,540561,44,31,2ae69dcb3d2aea38f584ad289eb6969b2174608b,0,0,0,0,0,
11,20200524,MA,92675,439698.0,,2169.0,9308.0,558.0,,,,,A,5/24/2020 10:00,2020-05-24T10:00:00Z,05/24 06:00,6372.0,9308.0,2020-05-24T10:00:00Z,25,1013,10374,532373,532373,11387,532373,68,48,dfcc3c7361d14f46432036891cd9b1ea4948b734,0,0,0,0,0,
12,20200523,MA,91662,429324.0,,2237.0,9260.0,610.0,,,,,A,5/23/2020 10:00,2020-05-23T10:00:00Z,05/23 06:00,6304.0,9260.0,2020-05-23T10:00:00Z,25,773,8569,520986,520986,9342,520986,76,98,42671d4d54bcda5716fab12c9d95643d0cab53b2,0,0,0,0,0,
13,20200522,MA,90889,420755.0,,2323.0,9162.0,628.0,,,,,A,5/22/2020 10:00,2020-05-22T10:00:00Z,05/22 06:00,6228.0,9162.0,2020-05-22T10:00:00Z,25,805,9353,511644,511644,10158,511644,80,122,52c5d4b445639fdcf268f59c4c1374aed533586d,0,0,0,0,0,
14,20200521,MA,90084,411402.0,,2396.0,9040.0,647.0,,,,,A,5/21/2020 10:00,2020-05-21T10:00:00Z,05/21 06:00,6148.0,9040.0,2020-05-21T10:00:00Z,25,1114,10419,501486,501486,11533,501486,82,143,d49fddffa65527f7350b2ff0c8e1fb5f5cf0a577,0,0,0,0,0,
15,20200520,MA,88970,400983.0,,2518.0,8897.0,675.0,,,,,A,5/20/2020 10:00,2020-05-20T10:00:00Z,05/20 06:00,6066.0,8897.0,2020-05-20T10:00:00Z,25,1045,11968,489953,489953,13013,489953,128,131,f80fa10eab61d0d7765cb61a2132987e716482d4,0,0,0,0,0,
16,20200519,MA,87925,389015.0,,2472.0,8766.0,672.0,,,,,A+,5/19/2020 10:00,2020-05-19T10:00:00Z,05/19 06:00,5938.0,8766.0,2020-05-19T10:00:00Z,25,1915,14199,476940,476940,16114,476940,141,227,95921a1a2dd0c49a6c7599ea85dc92468d3a9ed8,0,0,0,0,0,
17,20200518,MA,86010,374816.0,,2597.0,8539.0,702.0,,,,,A+,5/17/2020 10:00,2020-05-17T10:00:00Z,05/17 06:00,5797.0,8539.0,2020-05-17T10:00:00Z,25,0,0,460826,460826,0,460826,0,0,6459d408614b8969368bf1bd1e2d32ca404dc599,0,0,0,0,0,
