,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,MD,55858,281160,,1096.0,9217.0,456.0,,,,3985.0,B,6/4/2020 10:00,2020-06-04T10:00:00Z,06/04 06:00,2668.0,9217.0,2020-06-04T10:00:00Z,24,876,8517,337018,337018,9393,337018,2,106,ef891a07bba79206202601c328b97b338aa15cdf,0,0,0,0,0,
1,20200603,MD,54982,272643,,1109.0,9111.0,471.0,,,,3970.0,B,6/3/2020 10:00,2020-06-03T10:00:00Z,06/03 06:00,2666.0,9111.0,2020-06-03T10:00:00Z,24,807,11003,327625,327625,11810,327625,20,154,17bf4e32d66350b769460c61e618dfe2955faaee,0,0,0,0,0,
2,20200602,MD,54175,261640,,1148.0,8957.0,481.0,,,,3855.0,B,6/2/2020 10:00,2020-06-02T10:00:00Z,06/02 06:00,2646.0,8957.0,2020-06-02T10:00:00Z,24,848,6237,315815,315815,7085,315815,21,71,78c09a1ddeac36def0047fbad9feb026f1f9da1b,0,0,0,0,0,
3,20200601,MD,53327,255403,,1174.0,8886.0,479.0,,,,3782.0,B,6/1/2020 10:00,2020-06-01T10:00:00Z,06/01 06:00,2625.0,8886.0,2020-06-01T10:00:00Z,24,549,6300,308730,308730,6849,308730,29,148,172e83fafce5716f0f4933acffeacdb33fa8d984,0,0,0,0,0,
4,20200531,MD,52778,249103,,1183.0,8738.0,479.0,,,,3764.0,B,5/31/2020 10:00,2020-05-31T10:00:00Z,05/31 06:00,2596.0,8738.0,2020-05-31T10:00:00Z,24,763,7172,301881,301881,7935,301881,34,119,4c607f659c23794d1fb9fb10900e835918fadee2,0,0,0,0,0,
5,20200530,MD,52015,241931,,1239.0,8619.0,492.0,,,,3649.0,B,5/30/2020 00:00,2020-05-30T00:00:00Z,05/29 20:00,2562.0,8619.0,2020-05-30T00:00:00Z,24,1027,8401,293946,293946,9428,293946,24,140,bbb81a8de91a0f062acdf3a800d238e133e40e02,0,0,0,0,0,
6,20200529,MD,50988,233530,,1296.0,8479.0,507.0,,,,3571.0,B,5/29/2020 10:00,2020-05-29T10:00:00Z,05/29 06:00,2538.0,8479.0,2020-05-29T10:00:00Z,24,1279,8381,284518,284518,9660,284518,37,87,3c0aaa9678c9d8db4f1d368cf2042f597ac88708,0,0,0,0,0,
7,20200528,MD,49709,225149,,1334.0,8392.0,511.0,,,,3468.0,B,5/28/2020 10:00,2020-05-28T10:00:00Z,05/28 06:00,2501.0,8392.0,2020-05-28T10:00:00Z,24,1286,11517,274858,274858,12803,274858,43,111,e025804200dc14ab5d85e2f2999ccfc53387b09d,0,0,0,0,0,
8,20200527,MD,48423,213632,,1338.0,8281.0,520.0,,,,3401.0,B,5/27/2020 10:00,2020-05-27T10:00:00Z,05/27 06:00,2458.0,8281.0,2020-05-27T10:00:00Z,24,736,6832,262055,262055,7568,262055,41,102,5edcb1d8d75e69fe1cefe6b8ae5425cef722d359,0,0,0,0,0,
9,20200526,MD,47687,206800,,1315.0,8179.0,520.0,,,,3334.0,B,5/26/2020 10:00,2020-05-26T10:00:00Z,05/26 06:00,2417.0,8179.0,2020-05-26T10:00:00Z,24,535,4375,254487,254487,4910,254487,38,87,d2b49e22217b262a6575eaac3b6a0318cdc6ba53,0,0,0,0,0,
10,20200525,MD,47152,202425,,1279.0,8092.0,517.0,,,,3329.0,B,5/25/2020 10:00,2020-05-25T10:00:00Z,05/25 06:00,2379.0,8092.0,2020-05-25T10:00:00Z,24,839,8376,249577,249577,9215,249577,38,153,a204486d21394d868248dc8458037dc419cd1216,0,0,0,0,0,
11,20200524,MD,46313,194049,,1290.0,7939.0,503.0,,,,3319.0,B,5/24/2020 10:00,2020-05-24T10:00:00Z,05/24 06:00,2341.0,7939.0,2020-05-24T10:00:00Z,24,818,7217,240362,240362,8035,240362,35,114,46b017d6181aee8d5b14b1ebe2e259ef3747896c,0,0,0,0,0,
12,20200523,MD,45495,186832,,1320.0,7825.0,524.0,,,,3283.0,B,5/23/2020 10:00,2020-05-23T10:00:00Z,05/23 06:00,2306.0,7825.0,2020-05-23T10:00:00Z,24,1071,3354,232327,232327,4425,232327,32,191,7a9d4ba569dfd7ad99de14009c492e3b6a227982,0,0,0,0,0,
13,20200522,MD,44424,183478,,1329.0,7634.0,506.0,,,,3243.0,B,5/22/2020 10:00,2020-05-22T10:00:00Z,05/22 06:00,2274.0,7634.0,2020-05-22T10:00:00Z,24,893,6776,227902,227902,7669,227902,53,149,a2a4ea0165804d8b4237fdf5744bf676f19bee56,0,0,0,0,0,
14,20200521,MD,43531,176702,,1374.0,7485.0,526.0,,,,3099.0,B,5/21/2020 10:00,2020-05-21T10:00:00Z,05/21 06:00,2221.0,7485.0,2020-05-21T10:00:00Z,24,1208,3695,220233,220233,4903,220233,23,92,34a925513ab0c70c77899f2b70b82c12ed4a0840,0,0,0,0,0,
15,20200520,MD,42323,173007,,1410.0,7393.0,539.0,,,,2993.0,B,5/20/2020 10:00,2020-05-20T10:00:00Z,05/20 06:00,2198.0,7393.0,2020-05-20T10:00:00Z,24,777,5895,215330,215330,6672,215330,34,194,d74e78e8ed76d84b889b637f351a78de37dd8e1a,0,0,0,0,0,
16,20200519,MD,41546,167112,,1421.0,7199.0,537.0,,,,2868.0,B,5/19/2020 10:00,2020-05-19T10:00:00Z,05/19 06:00,2164.0,7199.0,2020-05-19T10:00:00Z,24,1784,5368,208658,208658,7152,208658,42,113,cc31617a1444a1362be7e1fb708060edc12ff287,0,0,0,0,0,
17,20200518,MD,39762,161744,,1447.0,7086.0,555.0,,,,2817.0,B,5/18/2020 10:00,2020-05-18T10:00:00Z,05/18 06:00,2122.0,7086.0,2020-05-18T10:00:00Z,24,958,5622,201506,201506,6580,201506,32,93,c2b020f48a474ed097f4cc9ba3fd8ba740b7fc3f,0,0,0,0,0,
18,20200517,MD,38804,156122,,1460.0,6993.0,562.0,,,,2816.0,B,5/17/2020 10:00,2020-05-17T10:00:00Z,05/17 06:00,2090.0,6993.0,2020-05-17T10:00:00Z,24,836,3915,194926,194926,4751,194926,50,238,9a1f2a720b4664ecc937c4d9bde0f80858f4c956,0,0,0,0,0,
19,20200516,MD,37968,152207,,1500.0,6755.0,598.0,,,,2806.0,B,5/16/2020 10:00,2020-05-16T10:00:00Z,05/16 06:00,2040.0,6755.0,2020-05-16T10:00:00Z,24,982,6367,190175,190175,7349,190175,49,76,1d2384a631837e785208a783af48c77dda7d4fb4,0,0,0,0,0,
20,20200515,MD,36986,145840,,1496.0,6679.0,598.0,,,,2685.0,B,5/15/2020 10:00,2020-05-15T10:00:00Z,05/15 06:00,1991.0,6679.0,2020-05-15T10:00:00Z,24,1083,3289,182826,182826,4372,182826,56,126,715857baa8f1f20dc0bd7cdb9617fb973b8b806d,0,0,0,0,0,
