,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,NJ,162530,695199.0,,1982.0,17604.0,537.0,,459.0,,27231.0,A+,6/4/2020 13:00,2020-06-04T13:00:00Z,06/04 09:00,11970.0,17604.0,2020-06-04T13:00:00Z,34,462,19847,857729,857729,20309,857729,90,214,ac679df371e6ef75e20ffabd649a73b5308d1650,0,0,0,0,0,
1,20200603,NJ,162068,675352.0,,2250.0,17390.0,612.0,,459.0,,27008.0,A+,6/3/2020 13:00,2020-06-03T13:00:00Z,06/03 09:00,11880.0,17390.0,2020-06-03T13:00:00Z,34,523,19220,837420,837420,19743,837420,110,0,f1335f6dd6e412fdac7f4b6e7a438142ff2842d7,0,0,0,0,0,
2,20200602,NJ,161545,656132.0,,2370.0,17390.0,639.0,,480.0,,26815.0,A+,6/2/2020 13:00,2020-06-02T13:00:00Z,06/02 09:00,11770.0,17390.0,2020-06-02T13:00:00Z,34,627,21450,817677,817677,22077,817677,49,168,af4e46b714748139f5efd3686da8619d3ae279fb,0,0,0,0,0,
3,20200601,NJ,160918,634682.0,,2466.0,17222.0,646.0,,459.0,,26703.0,A+,6/1/2020 13:00,2020-06-01T13:00:00Z,06/01 09:00,11721.0,17222.0,2020-06-01T13:00:00Z,34,473,48982,795600,795600,49455,795600,23,25,7ecefb1e9f799c48bd11712f19575375af16126d,0,0,0,0,0,
4,20200531,NJ,160445,585700.0,,2497.0,17197.0,522.0,,378.0,,26560.0,A+,5/31/2020 13:00,2020-05-31T13:00:00Z,05/31 09:00,11698.0,17197.0,2020-05-31T13:00:00Z,34,837,0,746145,746145,837,746145,64,76,b0f727049ceaa0cf561b3e2d4d8c45f1d53b31b9,0,0,0,0,0,
5,20200530,NJ,159608,585700.0,,2626.0,17121.0,672.0,,499.0,,26301.0,A+,5/30/2020 13:00,2020-05-30T13:00:00Z,05/30 09:00,11634.0,17121.0,2020-05-30T13:00:00Z,34,764,28133,745308,745308,28897,745308,103,161,d9a5a90d49d07b83a8bfeea56065ef6433ad54c7,0,0,0,0,0,
6,20200529,NJ,158844,557567.0,,2707.0,16960.0,720.0,,544.0,,26084.0,A+,5/29/2020 13:00,2020-05-29T13:00:00Z,05/29 09:00,11531.0,16960.0,2020-05-29T13:00:00Z,34,1029,29525,716411,716411,30554,716411,130,182,4a51aa2d3e1b86b704fda377eb852106862f39b4,0,0,0,0,0,
7,20200528,NJ,157815,528042.0,,2797.0,16778.0,740.0,,564.0,,25804.0,A+,5/28/2020 13:00,2020-05-28T13:00:00Z,05/28 09:00,11401.0,16778.0,2020-05-28T13:00:00Z,34,1187,24345,685857,685857,25532,685857,62,181,38d67494883ebb7fa7c2344fa731b290b8b28ef4,0,0,0,0,0,
8,20200527,NJ,156628,503697.0,,2761.0,16597.0,768.0,,583.0,,25552.0,A+,5/27/2020 13:00,2020-05-27T13:00:00Z,05/27 09:00,11339.0,16597.0,2020-05-27T13:00:00Z,34,864,23569,660325,660325,24433,660325,148,224,abf3d8a02965d6deceeec46932de4b4bf4b3e1e8,0,0,0,0,0,
9,20200526,NJ,155764,480128.0,,2723.0,16373.0,786.0,,578.0,,25384.0,A+,5/26/2020 13:00,2020-05-26T13:00:00Z,05/26 09:00,11191.0,16373.0,2020-05-26T13:00:00Z,34,672,11423,635892,635892,12095,635892,47,16373,2dffa72246b9f5efe74f68d73eb2015d53c4d5ad,0,0,0,0,0,
10,20200525,NJ,155092,468705.0,,2755.0,,719.0,,540.0,,25253.0,A+,5/25/2020 13:00,2020-05-25T13:00:00Z,05/25 09:00,11144.0,,2020-05-25T13:00:00Z,34,938,19052,623797,623797,19990,623797,11,0,2923754f1c43acb28c9f35d5011211f05703abbb,0,0,0,0,0,
11,20200524,NJ,154154,449653.0,,2857.0,,760.0,,639.0,,25040.0,A+,5/24/2020 13:00,2020-05-24T13:00:00Z,05/24 09:00,11133.0,,2020-05-24T13:00:00Z,34,1050,24022,603807,603807,25072,603807,52,0,3452a807d18dc0faf2dfe477b33ebd9ff0b8e0bd,0,0,0,0,0,
12,20200523,NJ,153104,425631.0,,2974.0,,806.0,,611.0,,24762.0,A+,5/23/2020 13:00,2020-05-23T13:00:00Z,05/23 09:00,11081.0,,2020-05-23T13:00:00Z,34,385,23036,578735,578735,23421,578735,96,0,30da2c2218abdf56fc3e059723cc56a725764052,0,0,0,0,0,
13,20200522,NJ,152719,402595.0,,3049.0,,846.0,,674.0,,24491.0,A+,5/22/2020 13:00,2020-05-22T13:00:00Z,05/22 09:00,10985.0,,2020-05-22T13:00:00Z,34,1247,9793,555314,555314,11040,555314,142,0,330b3b23e34360150122562bcd8fcc5c13354559,0,0,0,0,0,
14,20200521,NJ,151472,392802.0,,3208.0,,896.0,,700.0,,24236.0,A+,5/21/2020 13:00,2020-05-21T13:00:00Z,05/21 09:00,10843.0,,2020-05-21T13:00:00Z,34,1073,11858,544274,544274,12931,544274,96,0,fa32c87e9bc22f3cef63b87be7ac569e65665f1c,0,0,0,0,0,
15,20200520,NJ,150399,380944.0,,3405.0,,969.0,,750.0,,23945.0,A+,5/20/2020 13:00,2020-05-20T13:00:00Z,05/20 09:00,10747.0,,2020-05-20T13:00:00Z,34,1386,9775,531343,531343,11161,531343,161,0,5d6aeab650a394f3aef65c89b2bbce01f9d5ea84,0,0,0,0,0,
16,20200519,NJ,149013,371169.0,,3481.0,,977.0,,789.0,,23657.0,A+,5/19/2020 13:00,2020-05-19T13:00:00Z,05/19 09:00,10586.0,,2020-05-19T13:00:00Z,34,974,13639,520182,520182,14613,520182,151,0,153099928dbced982dd455e77bc440870cc5b04f,0,0,0,0,0,
17,20200518,NJ,148039,357530.0,,3509.0,,1053.0,,819.0,,23496.0,A+,5/18/2020 13:00,2020-05-18T13:00:00Z,05/18 09:00,10435.0,,2020-05-18T13:00:00Z,34,1705,16299,505569,505569,18004,505569,79,0,b52fd59040932bcf3b25637bc0ea84319985b309,0,0,0,0,0,
18,20200517,NJ,146334,341231.0,,3411.0,,1030.0,,819.0,,23299.0,A+,5/17/2020 13:00,2020-05-17T13:00:00Z,05/17 09:00,10356.0,,2020-05-17T13:00:00Z,34,1245,11096,487565,487565,12341,487565,107,0,d913b4750d0607d79a6e4a08da4d8afdb37ed271,0,0,0,0,0,
19,20200516,NJ,145089,330135.0,,3564.0,,1061.0,,846.0,,22939.0,A+,5/16/2020 13:00,2020-05-16T13:00:00Z,05/16 09:00,10249.0,,2020-05-16T13:00:00Z,34,1184,11068,475224,475224,12252,475224,111,0,4a57e597ea0a933dd6f1479af7ea8d8a114b9ccf,0,0,0,0,0,
20,20200515,NJ,143905,319067.0,,3823.0,,1127.0,,865.0,,15642.0,A+,5/15/2020 13:00,2020-05-15T13:00:00Z,05/15 09:00,10138.0,,2020-05-15T13:00:00Z,34,1201,10075,462972,462972,11276,462972,192,0,e00430eff4448a0df3e6cb5ad7c389f65b82c69f,0,0,0,0,0,
21,20200514,NJ,142704,308992.0,,3958.0,,1157.0,,898.0,,15642.0,A+,5/14/2020 13:00,2020-05-14T13:00:00Z,05/14 09:00,9946.0,,2020-05-14T13:00:00Z,34,1144,9102,451696,451696,10246,451696,244,0,401681f113c9a4ff132964aa44f5be08989772fe,0,0,0,0,0,
22,20200513,NJ,141560,299890.0,,4226.0,,1226.0,,928.0,,15642.0,A+,5/13/2020 13:00,2020-05-13T13:00:00Z,05/13 09:00,9702.0,,2020-05-13T13:00:00Z,34,817,7573,441450,441450,8390,441450,194,0,60d4e36aa39d360d9f936eac5b0e3d62c384b8b5,0,0,0,0,0,
23,20200512,NJ,140743,292317.0,,4328.0,,1306.0,,982.0,,15642.0,A+,5/12/2020 13:00,2020-05-12T13:00:00Z,05/12 09:00,9508.0,,2020-05-12T13:00:00Z,34,798,6329,433060,433060,7127,433060,198,0,bd2afd921261b395303be1736ece489f0ce623a4,0,0,0,0,0,
24,20200511,NJ,139945,285988.0,,4195.0,,1255.0,,970.0,,15642.0,A+,5/11/2020 13:00,2020-05-11T13:00:00Z,05/11 09:00,9310.0,,2020-05-11T13:00:00Z,34,1413,112073,425933,425933,113486,425933,55,0,0dae15602964348eb7c959aac26834a5959a9c2b,0,0,0,0,0,
25,20200510,NJ,138532,173915.0,591.0,4308.0,,1338.0,,994.0,,15642.0,A+,5/10/2020 13:00,2020-05-10T13:00:00Z,05/10 09:00,9255.0,,2020-05-10T13:00:00Z,34,1447,5794,313038,312447,7241,312447,139,0,f73eb094bad80b114465aa496917f98cb3f6c597,0,0,0,0,0,
26,20200509,NJ,137085,168121.0,557.0,4628.0,,1416.0,,1054.0,,15642.0,A+,5/9/2020 13:00,2020-05-09T13:00:00Z,05/09 09:00,9116.0,,2020-05-09T13:00:00Z,34,1631,4816,305763,305206,6447,305206,164,0,71109b3432b7f3fbfe09d822774dc00e1b4f1534,0,0,0,0,0,
