,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,NY,375133,1917899,,2849.0,89995.0,832.0,,613.0,,66756.0,A,6/4/2020 00:00,2020-06-04T00:00:00Z,06/03 20:00,24133.0,89995.0,2020-06-04T00:00:00Z,36,1048,62511,2293032,2293032,63559,2293032,54,0,efc486be5369a33da6e168b16b420beb294162a4,0,0,0,0,0,
1,20200603,NY,374085,1855388,,2978.0,89995.0,865.0,,638.0,,66502.0,A,6/3/2020 00:00,2020-06-03T00:00:00Z,06/02 20:00,24079.0,89995.0,2020-06-03T00:00:00Z,36,1045,60597,2229473,2229473,61642,2229473,56,134,4d5e8f769893706e361a52822c831d072edc1d81,0,0,0,0,0,
2,20200602,NY,373040,1794791,,3121.0,89861.0,907.0,,673.0,,66262.0,A,6/2/2020 00:00,2020-06-02T00:00:00Z,06/01 20:00,24023.0,89861.0,2020-06-02T00:00:00Z,36,1329,52725,2167831,2167831,54054,2167831,64,158,0ac09bb60065285080593a184780bd71d34ebb7e,0,0,0,0,0,
3,20200601,NY,371711,1742066,,3331.0,89703.0,999.0,,746.0,,66110.0,A,6/1/2020 00:00,2020-06-01T00:00:00Z,05/31 20:00,23959.0,89703.0,2020-06-01T00:00:00Z,36,941,49011,2113777,2113777,49952,2113777,54,113,42f14d2b9c869212a66c7a1c77c67b06076603a5,0,0,0,0,0,
4,20200531,NY,370770,1693055,,3436.0,89590.0,1050.0,,791.0,,65934.0,A,5/31/2020 00:00,2020-05-31T00:00:00Z,05/30 20:00,23905.0,89590.0,2020-05-31T00:00:00Z,36,1110,57334,2063825,2063825,58444,2063825,57,190,054347be13de4a8f6b3bf1a6dec4cfc449157cfb,0,0,0,0,0,
5,20200530,NY,369660,1635721,,3619.0,89400.0,1124.0,,857.0,,65609.0,A,5/30/2020 00:00,2020-05-30T00:00:00Z,05/29 20:00,23848.0,89400.0,2020-05-30T00:00:00Z,36,1376,59875,2005381,2005381,61251,2005381,68,206,05bcef7343bd6d7a2aba35c8b142cc963d010993,0,0,0,0,0,
6,20200529,NY,368284,1575846,,3781.0,89194.0,1164.0,,889.0,,65289.0,A,5/29/2020 00:00,2020-05-29T00:00:00Z,05/28 20:00,23780.0,89194.0,2020-05-29T00:00:00Z,36,1551,65790,1944130,1944130,67341,1944130,58,152,b0e919eee040b251f92631b87a5bdefbccf1729b,0,0,0,0,0,
7,20200528,NY,366733,1510056,,4010.0,89042.0,1219.0,,931.0,,64954.0,A,5/28/2020 00:00,2020-05-28T00:00:00Z,05/27 20:00,23722.0,89042.0,2020-05-28T00:00:00Z,36,1768,63477,1876789,1876789,65245,1876789,79,176,2b3f881001fcdbe5b745846ecfc18f01e10b40ec,0,0,0,0,0,
8,20200527,NY,364965,1446579,,4208.0,88866.0,1261.0,,988.0,,64632.0,A,5/27/2020 00:00,2020-05-27T00:00:00Z,05/26 20:00,23643.0,88866.0,2020-05-27T00:00:00Z,36,1129,36287,1811544,1811544,37416,1811544,79,180,3205961c37fd37f91110fbbf6b9bbd1c5df627d7,0,0,0,0,0,
9,20200526,NY,363836,1410292,,4265.0,88686.0,1273.0,,1002.0,,64443.0,A,5/26/2020 00:00,2020-05-26T00:00:00Z,05/25 20:00,23564.0,88686.0,2020-05-26T00:00:00Z,36,1072,33607,1774128,1774128,34679,1774128,76,132,954a0908acd1e63f44484d0c39d359388cb5570e,0,0,0,0,0,
10,20200525,NY,362764,1376685,,4348.0,88554.0,1366.0,,1058.0,,64280.0,A,5/25/2020 00:00,2020-05-25T00:00:00Z,05/24 20:00,23488.0,88554.0,2020-05-25T00:00:00Z,36,1249,38374,1739449,1739449,39623,1739449,97,230,5dcca7137e3889116346c5d47c1d5305ab663a43,0,0,0,0,0,
11,20200524,NY,361515,1338311,,4393.0,88324.0,1406.0,,1067.0,,64080.0,A,5/24/2020 00:00,2020-05-24T00:00:00Z,05/23 20:00,23391.0,88324.0,2020-05-24T00:00:00Z,36,1589,46176,1699826,1699826,47765,1699826,109,241,0d786c07e3246871c477dad4b725637a83ab31c4,0,0,0,0,0,
12,20200523,NY,359926,1292135,,4844.0,88083.0,1581.0,,1254.0,,63292.0,A,5/22/2020 00:00,2020-05-22T00:00:00Z,05/21 20:00,23282.0,88083.0,2020-05-22T00:00:00Z,36,1772,49496,1652061,1652061,51268,1652061,87,240,42d7a3a027fe10b0ccb5bf2e55afcba7dc464a37,0,0,0,0,0,
13,20200522,NY,358154,1242639,,4844.0,87843.0,1581.0,,1254.0,,63292.0,A,5/22/2020 00:00,2020-05-22T00:00:00Z,05/21 20:00,23195.0,87843.0,2020-05-22T00:00:00Z,36,1696,44042,1600793,1600793,45738,1600793,112,205,fedd339f602ef7d16de309ab2e06d798fe0b75a6,0,0,0,0,0,
14,20200521,NY,356458,1198597,,5187.0,87638.0,1695.0,,1345.0,,62826.0,A,5/21/2020 00:00,2020-05-21T00:00:00Z,05/20 20:00,23083.0,87638.0,2020-05-21T00:00:00Z,36,2088,47131,1555055,1555055,49219,1555055,107,179,9ddf2a4ab224407b5788d931aeef529b0a193ebe,0,0,0,0,0,
15,20200520,NY,354370,1151466,,5570.0,87459.0,1836.0,,1421.0,,61886.0,A,5/20/2020 00:00,2020-05-20T00:00:00Z,05/19 20:00,22976.0,87459.0,2020-05-20T00:00:00Z,36,1525,36572,1505836,1505836,38097,1505836,133,290,2802ace6ac2a5a66298a3672ea17012af26685d1,0,0,0,0,0,
16,20200519,NY,352845,1114894,,5818.0,87169.0,1836.0,,1481.0,,61886.0,A,5/19/2020 00:00,2020-05-19T00:00:00Z,05/18 20:00,22843.0,87169.0,2020-05-19T00:00:00Z,36,1474,26708,1467739,1467739,28182,1467739,114,268,0d5a32ad86111a72d811d6539a381838abc04550,0,0,0,0,0,
