,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,PA,74560,416942.0,,1174.0,,,,268.0,,51019.0,A+,6/4/2020 12:00,2020-06-04T12:00:00Z,06/04 08:00,5817.0,,2020-06-04T12:00:00Z,42,538,15573,491502,491502,16111,491502,76,0,e7e64a233fa3af5ca1da0941eccd0fdeb45978e6,0,0,0,0,0,
1,20200603,PA,74022,401369.0,,1164.0,,,,269.0,,49915.0,A+,6/3/2020 00:00,2020-06-03T00:00:00Z,06/02 20:00,5741.0,,2020-06-03T00:00:00Z,42,512,2008,475391,475391,2520,475391,74,0,887cf4a719b2a61eba4c839f2e39d52fce906e20,0,0,0,0,0,
2,20200602,PA,73510,399361.0,,1302.0,,,,283.0,,48838.0,A+,6/2/2020 00:00,2020-06-02T00:00:00Z,06/01 20:00,5667.0,,2020-06-02T00:00:00Z,42,612,9930,472871,472871,10542,472871,100,0,c56b3eb7527ae42ed17a01e34438dcbed8f42bdf,0,0,0,0,0,
3,20200601,PA,72898,389431.0,,1302.0,,,,287.0,,48428.0,A+,6/1/2020 00:00,2020-06-01T00:00:00Z,05/31 20:00,5567.0,,2020-06-01T00:00:00Z,42,352,6320,462329,462329,6672,462329,12,0,0af8123d95ae64504ed260f4c8d569657083ceae,0,0,0,0,0,
4,20200531,PA,72546,383111.0,,1352.0,,,,296.0,,48190.0,A,5/31/2020 12:00,2020-05-31T12:00:00Z,05/31 08:00,5555.0,,2020-05-31T12:00:00Z,42,515,7370,455657,455657,7885,455657,18,0,99e6320472b97150f75db4287fc4bde3109e1ae3,0,0,0,0,0,
5,20200530,PA,72031,375741.0,,1352.0,,,,295.0,,47133.0,A,5/30/2020 12:30,2020-05-30T12:30:00Z,05/30 08:30,5537.0,,2020-05-30T12:30:00Z,42,692,8771,447772,447772,9463,447772,73,0,ee04a073b23f8d36dbe2f55637b4465f3a07b31c,0,0,0,0,0,
6,20200529,PA,71339,366970.0,,1445.0,,,,313.0,,46370.0,A,5/29/2020 00:00,2020-05-29T00:00:00Z,05/28 20:00,5464.0,,2020-05-29T00:00:00Z,42,1297,9166,438309,438309,10463,438309,91,0,2f2c8ae0a17c09c11bd71c66e9f3ca2d7e907a2f,0,0,0,0,0,
7,20200528,PA,70042,357804.0,,1476.0,,,,321.0,,44826.0,A,5/28/2020 00:00,2020-05-28T00:00:00Z,05/27 20:00,5373.0,,2020-05-28T00:00:00Z,42,625,7814,427846,427846,8439,427846,108,0,01439cf6287374e852f5b006c7941b4c81cc6563,0,0,0,0,0,
8,20200527,PA,69417,349990.0,,1493.0,,,,351.0,,43038.0,A,5/27/2020 00:00,2020-05-27T00:00:00Z,05/26 20:00,5265.0,,2020-05-27T00:00:00Z,42,780,10155,419407,419407,10935,419407,113,0,a659295bd803c528ffa9a03a3cc466a176e956b2,0,0,0,0,0,
9,20200526,PA,68637,339835.0,,1493.0,,,,334.0,,41868.0,A,5/26/2020 11:15,2020-05-26T11:15:00Z,05/26 07:15,5152.0,,2020-05-26T11:15:00Z,42,451,4907,408472,408472,5358,408472,13,0,e05a84331ba40e7ad9461a7acd6d87c03c4211cf,0,0,0,0,0,
10,20200525,PA,68186,334928.0,,1628.0,,,,324.0,,40911.0,A,5/25/2020 00:00,2020-05-25T00:00:00Z,05/24 20:00,5139.0,,2020-05-25T00:00:00Z,42,473,6546,403114,403114,7019,403114,15,0,e90aa3f9f6aa17b405f6fbde254ea0c9e28d4fd3,0,0,0,0,0,
11,20200524,PA,67713,328382.0,,1533.0,,,,336.0,,40627.0,A,5/24/2020 12:00,2020-05-24T12:00:00Z,05/24 08:00,5124.0,,2020-05-24T12:00:00Z,42,730,6913,396095,396095,7643,396095,28,0,34ea07d486f3c9ed2028b08f84f3510b06d0e835,0,0,0,0,0,
12,20200523,PA,66983,321469.0,,1560.0,,,,348.0,,39519.0,A,5/23/2020 00:00,2020-05-23T00:00:00Z,05/22 20:00,5096.0,,2020-05-23T00:00:00Z,42,725,8726,388452,388452,9451,388452,112,0,8cfb2993f002aa50e4457f772a8cb1700d5757b7,0,0,0,0,0,
13,20200522,PA,66258,312743.0,,1580.0,,,,368.0,,37767.0,A,5/22/2020 00:00,2020-05-22T00:00:00Z,05/21 20:00,4984.0,,2020-05-22T00:00:00Z,42,866,9229,379001,379001,10095,379001,115,0,51ff56548d7021cbc2e2328b4944298f4ed9ba6a,0,0,0,0,0,
14,20200521,PA,65392,303514.0,,1654.0,,,,361.0,,,B,5/21/2020 00:00,2020-05-21T00:00:00Z,05/20 20:00,4869.0,,2020-05-21T00:00:00Z,42,1726,17480,368906,368906,19206,368906,245,0,9b82148efbf4a62bb892297df302daf019ce9057,0,0,0,0,0,
15,20200520,PA,63666,286034.0,,1818.0,,,,377.0,,,B,5/19/2020 00:00,2020-05-19T00:00:00Z,05/18 20:00,4624.0,,2020-05-19T00:00:00Z,42,0,0,349700,349700,0,349700,0,0,f02919024a0f5e10a56c788a397ed0113a12a4a4,0,0,0,0,0,
