,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200604,RI,15325,150598.0,,185.0,1765.0,42.0,,29.0,,1326.0,A+,6/4/2020 12:00,2020-06-04T12:00:00Z,06/04 08:00,756.0,1765.0,2020-06-04T12:00:00Z,44,106,3277,165923,165923,3383,165923,14,12,cc976bcbbcdcde0704f0580e624a968e5eafdbf2,0,0,0,0,0,
1,20200603,RI,15219,147321.0,,189.0,1753.0,44.0,,30.0,,1311.0,A+,6/3/2020 12:00,2020-06-03T12:00:00Z,06/03 08:00,742.0,1753.0,2020-06-03T12:00:00Z,44,107,2873,162540,162540,2980,162540,10,10,cd5de43e7ed6eca8710acfd620331b5af9360fc6,0,0,0,0,0,
2,20200602,RI,15112,144448.0,,188.0,1743.0,48.0,,31.0,,1302.0,A+,6/2/2020 12:00,2020-06-02T12:00:00Z,06/02 08:00,732.0,1743.0,2020-06-02T12:00:00Z,44,121,2604,159560,159560,2725,159560,12,19,8f81a3083e50f9fc3c1806381bd03530fb39b2c5,0,0,0,0,0,
3,20200601,RI,14991,141844.0,,195.0,1724.0,46.0,,29.0,,1281.0,A+,6/1/2020 12:00,2020-06-01T12:00:00Z,06/01 08:00,720.0,1724.0,2020-06-01T12:00:00Z,44,63,2279,156835,156835,2342,156835,2,23,fae2337f8305b1ebdd82a4dfaba86d538503cea6,0,0,0,0,0,
4,20200531,RI,14928,139565.0,,206.0,1701.0,46.0,,29.0,,1252.0,A+,5/31/2020 12:00,2020-05-31T12:00:00Z,05/31 08:00,718.0,1701.0,2020-05-31T12:00:00Z,44,109,4067,154493,154493,4176,154493,7,19,ff8626bdbc2b07495b3884757a35bfd59465b890,0,0,0,0,0,
5,20200530,RI,14819,135498.0,,219.0,1682.0,50.0,,32.0,,1225.0,A+,5/30/2020 12:00,2020-05-30T12:00:00Z,05/30 08:00,711.0,1682.0,2020-05-30T12:00:00Z,44,184,3778,150317,150317,3962,150317,18,22,a8739e28b1aa7d03f34bfc5e0899279780284662,0,0,0,0,0,
6,20200529,RI,14635,131720.0,,219.0,1660.0,47.0,,33.0,,1206.0,A+,5/29/2020 12:00,2020-05-29T12:00:00Z,05/29 08:00,693.0,1660.0,2020-05-29T12:00:00Z,44,141,5849,146355,146355,5990,146355,16,21,fa26a71a9f3ce901059f324716746d0b0549e7a4,0,0,0,0,0,
7,20200528,RI,14494,125871.0,,222.0,1639.0,53.0,,36.0,,1186.0,A+,5/28/2020 12:00,2020-05-28T12:00:00Z,05/28 08:00,677.0,1639.0,2020-05-28T12:00:00Z,44,141,1841,140365,140365,1982,140365,22,15,c8b49ec7609a7437437e8953ed8d53499d30d7c1,0,0,0,0,0,
8,20200527,RI,14353,124030.0,,218.0,1624.0,49.0,,35.0,,1175.0,A+,5/27/2020 00:00,2020-05-27T00:00:00Z,05/26 20:00,655.0,1624.0,2020-05-27T00:00:00Z,44,143,2877,138383,138383,3020,138383,21,11,ba911edfe6333ede85a419e5e912655ba1e37de0,0,0,0,0,0,
9,20200526,RI,14210,121153.0,,226.0,1613.0,50.0,,36.0,,1158.0,A+,5/26/2020 12:00,2020-05-26T12:00:00Z,05/26 08:00,634.0,1613.0,2020-05-26T12:00:00Z,44,145,2517,135363,135363,2662,135363,26,33,aac80ac3db6852eae2f9ee96ed4908eb88a24d61,0,0,0,0,0,
